"no","time_date","time_hours","sourceip","destinationip","protocol","length","info","info_cont1","info_cont2","info_cont3","info_cont4","info_cont5","info_cont6","info_cont7","__dt"
"182066","1970-01-03","05:56:53.012903","fe80::294d:3ea3:b53c:c77f","ff02::1:ff3c:c77f","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182067","1970-01-03","05:56:53.059167","fe80::695d:d39c:6fe8:612","ff02::1:ffe8:612","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182071","1970-01-03","05:56:53.654589","fe80::5dd3:6bb3:7720:1e83","ff02::1:ff20:1e83","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182068","1970-01-03","05:56:53.115899","fe80::f106:5909:32ae:f4cb","ff02::1:ffcd:badf","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182070","1970-01-03","05:56:53.247676","fe80::91d7:c7cc:5795:f857","ff02::1:ff75:80ea","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182073","1970-01-03","05:56:53.818299","fe80::b4ae:c3ed:7921:ab75","ff02::1:ff21:ab75","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182077","1970-01-03","05:56:54.515210","fe80::294d:3ea3:b53c:c77f","ff02::1:ff4b:1942","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182076","1970-01-03","05:56:54.418151","fe80::981:b1fd:8de1:811e","ff02::1:ff00:ab7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182075","1970-01-03","05:56:54.097327","fe80::b504:f453:742b:7a21","ff02::1:ff84:cc98","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182079","1970-01-03","05:56:54.720958","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ff00:3a7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182078","1970-01-03","05:56:54.560072","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff92:eff9","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182080","1970-01-03","05:56:54.864066","fe80::5860:41c8:b74d:ba93","ff02::1:ff4a:c304","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182081","1970-01-03","05:56:54.981391","fe80::7479:68ba:3dc6:1d14","ff02::1:ffb1:5cc9","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182082","1970-01-03","05:56:55.060031","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff00:c04","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
